Account	Flag	Check Number	Date	Payee	Category	Master Category	Sub Category	Memo	Outflow	Inflow	Cleared	Running Balance
Staging Main			7/31/2018	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$3.10 	R	"$15,251.35 "
Staging Main			8/9/2018	Transfer : Checking Main					"$1,000.00 "	$0.00 	R	"$14,251.35 "
Staging Main			8/12/2018	Transfer : Checking Main					"$1,500.00 "	$0.00 	R	"$12,751.35 "
Staging Main			8/15/2018	BNP Paribas	Income:Available this month	Income	Available this month	Paycheck Three	$0.00 	"$6,041.20 "	R	"$18,792.55 "
Staging Main			8/17/2018	University Of Michigan	Income:Available next month	Income	Available next month	Payment for the Programming	$0.00 	$271.95 	R	"$19,064.50 "
Staging Main			8/31/2018	BNP Paribas	Income:Available this month	Income	Available this month		$0.00 	"$3,762.27 "	R	"$22,826.77 "
Staging Main			8/31/2018	BNP Paribas	Income:Available this month	Income	Available this month		$0.00 	"$3,183.90 "	R	"$26,010.67 "
Staging Main			8/31/2018	BNP Paribas	Leverage:BNP Credit Card	Leverage	BNP Credit Card		$0.00 	"$1,853.35 "	R	"$27,864.02 "
Staging Main			8/31/2018	Monthly Interest	Income:Available this month	Income	Available this month		$0.00 	$14.60 	R	"$27,878.62 "
Staging Main			9/12/2018	Transfer : Money Market Account					"$17,878.62 "	$0.00 	R	"$10,000.00 "
Staging Main			9/15/2018	Transfer : Checking Main					"$2,500.00 "	$0.00 	R	"$7,500.00 "
Staging Main			9/20/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	R	"$7,425.00 "
Staging Main			9/24/2018	Transfer : Checking Main					"$3,000.00 "	$0.00 	R	"$4,425.00 "
Staging Main			9/27/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	R	"$4,350.00 "
Staging Main			9/30/2018	University Of Michigan	Income:Available next month	Income	Available next month		$0.00 	"$2,864.67 "	R	"$7,214.67 "
Staging Main			9/30/2018	Monthly Interest	Income:Available this month	Income	Available this month		$0.00 	$12.08 	R	"$7,226.75 "
Staging Main			10/4/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	R	"$7,151.75 "
Staging Main			10/11/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	R	"$7,076.75 "
Staging Main			10/12/2018	Transfer : Checking Main					"$1,000.00 "	$0.00 	R	"$6,076.75 "
Staging Main			10/18/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	R	"$6,001.75 "
Staging Main			10/22/2018	Transfer : Checking Main					"$1,700.00 "	$0.00 	R	"$4,301.75 "
Staging Main			10/25/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	R	"$4,226.75 "
Staging Main			10/31/2018	University Of Michigan	Income:Available next month	Income	Available next month	Paycheck!	$0.00 	"$2,864.67 "	R	"$7,091.42 "
Staging Main			10/31/2018	Monthly Interest	Income:Available this month	Income	Available this month		$0.00 	$5.04 	R	"$7,096.46 "
Staging Main			11/1/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	R	"$7,021.46 "
Staging Main			11/8/2018	Betterment	StopGap / Rainy Day Funds:Move to Investments [1k->10k]	StopGap / Rainy Day Funds	Move to Investments [1k->10k]	[Auto]	$75.00 	$0.00 	U	"$6,946.46 "
PNC Savings Account			7/6/2016	Starting Balance	Income:Available this month	Income	Available this month		$0.00 	$834.76 	R	$834.76 
PNC Savings Account			7/30/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.01 	R	$834.77 
PNC Savings Account			10/31/2016	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.02 	R	$834.79 
PNC Savings Account			2/11/2017	Monthly Interest	Income:Available next month	Income	Available next month		$0.00 	$0.02 	R	$834.81 
PNC Savings Account			5/8/2017	Monthly Interest	Income:Available this month	Income	Available this month	Two more months of Interest	$0.00 	$0.02 	R	$834.83 
PNC Savings Account			7/31/2017	Monthly Interest	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]	Monthly Interest	$0.00 	$0.02 	R	$834.85 
PNC Savings Account			8/19/2018	Monthly Interest	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$0.00 	$0.08 	R	$834.93 
Cash In Wallet			7/6/2016	Starting Balance	Income:Available this month	Income	Available this month		$0.00 	$54.00 	R	$54.00 
Cash In Wallet			7/24/2016	Lincoln Tunnel	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Travel	$15.00 	$0.00 	R	$39.00 
Cash In Wallet			7/26/2016	Toll	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Haley get home	$15.00 	$0.00 	R	$24.00 
Cash In Wallet			8/3/2016	Big Apple Meat Market	Everyday Needs:General Grocery	Everyday Needs	General Grocery	"Milk, eggs, hamburger helper"	$10.00 	$0.00 	R	$14.00 
Cash In Wallet			8/7/2016	Mom	Everyday Needs:Utilities	Everyday Needs	Utilities	Mom pay for electric 	$0.00 	$50.00 	R	$64.00 
Cash In Wallet			8/7/2016	Uber	Everday Wants:Spending Money	Everday Wants	Spending Money	Dad	$0.00 	$30.00 	R	$94.00 
Cash In Wallet			8/13/2016	Toll	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Trip	$1.00 	$0.00 	R	$93.00 
Cash In Wallet			8/13/2016	Toll	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Trip	$8.00 	$0.00 	R	$85.00 
Cash In Wallet			8/14/2016	Haley	Everday Wants:Spending Money	Everday Wants	Spending Money	Gas	$20.00 	$0.00 	R	$65.00 
Cash In Wallet			8/15/2016	Ohio Turnpike	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips		$5.00 	$0.00 	R	$60.00 
Cash In Wallet			8/15/2016	Toll	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Trip	$15.00 	$0.00 	R	$45.00 
Cash In Wallet			8/20/2016	Transfer : Cash in Safe					$0.00 	$100.00 	R	$145.00 
Cash In Wallet			8/20/2016	Katz	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Justin	$22.00 	$0.00 	R	$123.00 
Cash In Wallet			8/20/2016	Jakes Saloon	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Justin and Pete 	$27.00 	$0.00 	R	$96.00 
Cash In Wallet			8/27/2016	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$12.00 	$0.00 	R	$84.00 
Cash In Wallet			9/9/2016	Mom	Income:Available this month	Income	Available this month	Mom	$0.00 	$25.00 	R	$109.00 
Cash In Wallet			9/9/2016	PsiThai	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Rice	$5.00 	$0.00 	R	$104.00 
Cash In Wallet			9/9/2016	Standard Villaiage	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Haley	$32.00 	$0.00 	R	$72.00 
Cash In Wallet			9/17/2016	Mom	Income:Available this month	Income	Available this month	Just other money	$0.00 	$40.00 	R	$112.00 
Cash In Wallet			9/17/2016	Professor Thoms	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Pit	$16.00 	$0.00 	R	$96.00 
Cash In Wallet			9/28/2016	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Rice and falafel	$6.00 	$0.00 	R	$90.00 
Cash In Wallet			10/2/2016	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$0.00 	$6.00 	R	$96.00 
Cash In Wallet			10/8/2016	Erwins Orchard	Everday Wants:Spending Money	Everday Wants	Spending Money	Cider and donuts	$19.00 	$0.00 	R	$77.00 
Cash In Wallet			10/15/2016	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$14.00 	$0.00 	R	$63.00 
Cash In Wallet			10/29/2016	Shills	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Detroit	$30.00 	$0.00 	R	$33.00 
Cash In Wallet			10/30/2016	Shelby And James	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Payback for shills	$0.00 	$20.00 	R	$53.00 
Cash In Wallet			10/30/2016	Shills	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Shills	$12.00 	$0.00 	R	$41.00 
Cash In Wallet			11/2/2016	Greek Cart	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Kyle	$16.00 	$0.00 	R	$25.00 
Cash In Wallet			11/5/2016	Transfer : Cash in Safe					$0.00 	$50.00 	R	$75.00 
Cash In Wallet			11/6/2016	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$25.00 	$0.00 	R	$50.00 
Cash In Wallet			11/6/2016	American Hardware	Everday Wants:Transportation / Uber	Everday Wants	Transportation / Uber	Wire cutter	$30.00 	$0.00 	R	$20.00 
Cash In Wallet			11/20/2016	Mom	Income:Available this month	Income	Available this month	Home for thanksgiving 	$0.00 	$100.00 	R	$120.00 
Cash In Wallet			12/3/2016	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$0.00 	$14.00 	R	$134.00 
Cash In Wallet			12/12/2016	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Rice and falafel	$5.00 	$0.00 	R	$129.00 
Cash In Wallet			12/13/2016	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Pretzel Rice and falafel	$2.00 	$0.00 	R	$127.00 
Cash In Wallet			12/17/2016	Gregorys Coffee	Everday Wants:Spending Money	Everday Wants	Spending Money	Cam	$5.00 	$0.00 	R	$122.00 
Cash In Wallet			12/17/2016	Hama Sushi	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Cam	$15.00 	$0.00 	R	$107.00 
Cash In Wallet			12/17/2016	Barber	Everday Wants:Spending Money	Everday Wants	Spending Money	Haircut pre Christmas 	$21.00 	$0.00 	R	$86.00 
Cash In Wallet			12/18/2016	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$5.00 	$0.00 	R	$81.00 
Cash In Wallet			12/21/2016	Duane Reade	Infrequent Purchases and Payments:Gifts	Infrequent Purchases and Payments	Gifts	"(Split 1/2) Card for Haley's party, cole and Coke"	$54.00 	$0.00 	R	$24.00 
Cash In Wallet			12/21/2016	Duane Reade	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	"(Split 2/2) Card for Haley's party, cole and Coke"	$3.00 	$0.00 	R	$24.00 
Cash In Wallet			12/24/2016	Grandparents Hurd	Income:Available next month	Income	Available next month	Xmas	$0.00 	$50.00 	R	$74.00 
Cash In Wallet			12/24/2016	Ohio Turnpike	Everday Wants:Travel & Airfare For Trips	Everday Wants	Travel & Airfare For Trips	Haley	$8.00 	$0.00 	R	$66.00 
Cash In Wallet			12/26/2016	Haley	Infrequent Purchases and Payments:Gifts	Infrequent Purchases and Payments	Gifts	"25/2 for brooke, 10.5 for gas, 17 for lexa"	$50.00 	$0.00 	R	$16.00 
Cash In Wallet			12/27/2016	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Pretzel 	$2.00 	$0.00 	R	$14.00 
Cash In Wallet			12/31/2016	Transfer : Cash in Safe					$0.00 	$50.00 	R	$64.00 
Cash In Wallet			1/1/2017	Donut Store	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Donuts 	$6.00 	$0.00 	R	$58.00 
Cash In Wallet			1/3/2017	Cafe Duke	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	With Kyle 	$5.00 	$0.00 	R	$53.00 
Cash In Wallet			1/8/2017	Aunt Jane	Income:Available this month	Income	Available this month	Bday	$0.00 	$50.00 	R	$103.00 
Cash In Wallet			1/9/2017	TF Cornerstone	Everday Wants:Spending Money	Everday Wants	Spending Money	Key	$11.00 	$0.00 	R	$92.00 
Cash In Wallet			1/13/2017	University Foods Market	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Dinner	$20.00 	$0.00 	R	$72.00 
Cash In Wallet			1/14/2017	Greektown	Everday Wants:Spending Money	Everday Wants	Spending Money	Gambling 	$2.00 	$0.00 	R	$70.00 
Cash In Wallet			1/15/2017	Third Street	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Shuffle board	$1.00 	$0.00 	R	$69.00 
Cash In Wallet			1/16/2017	Transfer : Cash in Safe					$20.00 	$0.00 	R	$49.00 
Cash In Wallet			2/18/2017	Concession Stand	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Cole wrestling 	$6.00 	$0.00 	R	$43.00 
Cash In Wallet			2/19/2017	The Barrel Room	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Haley and Brooke	$3.00 	$0.00 	R	$40.00 
Cash In Wallet			3/4/2017	Barber	Everday Wants:Spending Money	Everday Wants	Spending Money	Haircut pre Florida 	$20.00 	$0.00 	R	$20.00 
Cash In Wallet			3/5/2017	Transfer : Cash in Safe					$0.00 	$200.00 	R	$220.00 
Cash In Wallet			3/10/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Lamb rice	$7.00 	$0.00 	R	$213.00 
Cash In Wallet			3/11/2017	Softball	Everday Wants:Spending Money	Everday Wants	Spending Money	Entrance fee	$8.00 	$0.00 	R	$205.00 
Cash In Wallet			3/11/2017	Eric Hurd	Everday Wants:Spending Money	Everday Wants	Spending Money	Tolls	$10.00 	$0.00 	R	$195.00 
Cash In Wallet	Red		3/23/2017	Adam Schwartz	Everday Wants:Spending Money	Everday Wants	Spending Money	Breakage	$5.00 	$0.00 	R	$190.00 
Cash In Wallet			3/25/2017	Joe Thomas	Everday Wants:Spending Money	Everday Wants	Spending Money	Breakage	$0.00 	$4.00 	R	$194.00 
Cash In Wallet			4/1/2017	Liquior Store	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	After punchbowl	$4.00 	$0.00 	R	$190.00 
Cash In Wallet			4/1/2017	Wayne State Comcessions	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Hot dog	$7.00 	$0.00 	R	$183.00 
Cash In Wallet			4/2/2017	Wayne State Comcessions	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Hot dog	$7.00 	$0.00 	R	$176.00 
Cash In Wallet			4/5/2017	Manhattan Cut Barber Shop	Everday Wants:Spending Money	Everday Wants	Spending Money	Barber cut before going to see Haley	$25.00 	$0.00 	R	$151.00 
Cash In Wallet			4/8/2017	General Store	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Water	$4.00 	$0.00 	R	$147.00 
Cash In Wallet			4/9/2017	Reconciliation Balance Adjustment	Everday Wants:Spending Money	Everday Wants	Spending Money	Breakage from Garrsion and the night out with Haley	$4.00 	$0.00 	R	$143.00 
Cash In Wallet			4/17/2017	Mom	Income:Available this month	Income	Available this month	Easter	$0.00 	$100.00 	R	$243.00 
Cash In Wallet			4/21/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Lamb rice	$6.00 	$0.00 	R	$237.00 
Cash In Wallet			4/26/2017	LIttle Bun Ramen	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Got-Off-early celebratory dinner	$0.00 	$0.00 	R	$237.00 
Cash In Wallet			4/28/2017	Ice Cream Truck	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Kyle	$4.00 	$0.00 	R	$233.00 
Cash In Wallet			4/28/2017	Fooda	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"		$8.00 	$0.00 	R	$225.00 
Cash In Wallet			4/30/2017	Bowling Alley	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Laz Detroit	$0.00 	$11.00 	R	$236.00 
Cash In Wallet			5/1/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Lamb rice	$6.00 	$0.00 	R	$230.00 
Cash In Wallet			5/3/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Pretzel 	$2.00 	$0.00 	R	$228.00 
Cash In Wallet			5/3/2017	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$45.00 	$0.00 	R	$183.00 
Cash In Wallet			5/13/2017	Pizza on 47th	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Random Pizza Slice waiting for Durand on 47/48th street - lasagna pizza	$5.00 	$0.00 	R	$178.00 
Cash In Wallet			5/19/2017	Reconciliation Balance Adjustment	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Reconciling The balance of cash account	$22.00 	$0.00 	R	$156.00 
Cash In Wallet			5/20/2017	Reconciliation Balance Adjustment	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Reconciling The balance of cash account	$22.00 	$0.00 	R	$134.00 
Cash In Wallet			5/21/2017	Artichoke Pizza	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"		$5.00 	$0.00 	R	$129.00 
Cash In Wallet			5/21/2017	Central Park Rowboat Rental	Everday Wants:Spending Money	Everday Wants	Spending Money	Haley	$15.00 	$0.00 	R	$114.00 
Cash In Wallet			5/21/2017	Reconciliation Balance Adjustment	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Reconciling The balance of cash account	$22.00 	$0.00 	R	$92.00 
Cash In Wallet			5/24/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Dinner	$6.00 	$0.00 	R	$86.00 
Cash In Wallet			5/27/2017	Mom	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]	Spending Money	$0.00 	$50.00 	R	$136.00 
Cash In Wallet			6/3/2017	Transfer : Cash in Safe					$0.00 	$100.00 	R	$236.00 
Cash In Wallet			6/3/2017	Manhattan Cut Barber Shop	Everday Wants:Spending Money	Everday Wants	Spending Money	Barber cut before going to see Haley	$30.00 	$0.00 	R	$206.00 
Cash In Wallet			6/4/2017	Kensington	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Boat rental 	$7.00 	$0.00 	R	$199.00 
Cash In Wallet			6/4/2017	Kensington	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Park admission 	$10.00 	$0.00 	R	$189.00 
Cash In Wallet			6/6/2017	Guggisberg Wineary	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Spending money	$2.00 	$0.00 	R	$187.00 
Cash In Wallet			6/7/2017	Reconciliation Balance Adjustment	Everday Wants:Spending Money	Everday Wants	Spending Money		$35.00 	$0.00 	R	$152.00 
Cash In Wallet			6/16/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Eating out with Karl our Intern	$6.00 	$0.00 	R	$146.00 
Cash In Wallet			6/16/2017	Irish Pub Times Square	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Random Beer	$9.00 	$0.00 	R	$137.00 
Cash In Wallet			6/17/2017	Au Bon Pain	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Water airport	$4.00 	$0.00 	R	$133.00 
Cash In Wallet			6/18/2017	Aunt Jane	Income:Available this month	Income	Available this month	Cam bday	$0.00 	$25.00 	R	$158.00 
Cash In Wallet			7/3/2017	Random	Infrequent Purchases and Payments:Higher Education [funded]	Infrequent Purchases and Payments	Higher Education [funded]		$0.00 	$1.00 	R	$159.00 
Cash In Wallet			7/3/2017	Manhattan Cut Barber Shop	Everday Wants:Spending Money	Everday Wants	Spending Money	Haircut	$30.00 	$0.00 	R	$129.00 
Cash In Wallet			7/15/2017	Union Square Fare	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Strawberry pastry Carolyn	$4.00 	$0.00 	R	$125.00 
Cash In Wallet			7/15/2017	Artichoke Pizza	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Carolyn	$5.00 	$0.00 	R	$120.00 
Cash In Wallet			7/20/2017	Craigs List	Income:Available this month	Income	Available this month	Selling the chairs	$0.00 	$50.00 	R	$170.00 
Cash In Wallet			7/20/2017	Cafe Duke	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Quentin Beer	$4.00 	$0.00 	R	$166.00 
Cash In Wallet			7/20/2017	Transfer : Cash in Safe					$100.00 	$0.00 	R	$66.00 
Cash In Wallet			7/22/2017	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$1.00 	$0.00 	R	$65.00 
Cash In Wallet			7/23/2017	Craigs List	Income:Available this month	Income	Available this month	Selling the lamp	$0.00 	$20.00 	R	$85.00 
Cash In Wallet			7/24/2017	Food Carr	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Dumplings with Kyle	$6.00 	$0.00 	R	$79.00 
Cash In Wallet			7/26/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Eating with Quentin 	$5.00 	$0.00 	R	$74.00 
Cash In Wallet			7/29/2017	Transfer : Cash in Safe					$0.00 	$300.00 	R	$374.00 
Cash In Wallet			7/31/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Eating with Kathy	$8.00 	$0.00 	R	$366.00 
Cash In Wallet			8/2/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Lunch	$7.00 	$0.00 	R	$359.00 
Cash In Wallet			8/6/2017	Laundry	Everyday Needs:Utilities	Everyday Needs	Utilities	At Alex's place 	$5.00 	$0.00 	R	$354.00 
Cash In Wallet			8/8/2017	Halal Food	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Lunch	$5.00 	$0.00 	R	$349.00 
Cash In Wallet			8/17/2017	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$31.00 	$0.00 	R	$318.00 
Cash In Wallet			8/19/2017	Powerhouse Gym	Everday Wants:Tanning [20->50]	Everday Wants	Tanning [20->50]	One month of tanning	$30.00 	$0.00 	R	$288.00 
Cash In Wallet			8/20/2017	Country Acres Market	Everday Wants:Spending Money	Everday Wants	Spending Money	Mom	$0.00 	$10.00 	R	$298.00 
Cash In Wallet			8/20/2017	Country Acres Market	Everday Wants:Spending Money	Everday Wants	Spending Money	Mom	$8.00 	$0.00 	R	$290.00 
Cash In Wallet			8/20/2017	Sam Mehr	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Gas in desert with one gallon left	$20.00 	$0.00 	R	$270.00 
Cash In Wallet			8/20/2017	Transfer : Cash in Safe					$200.00 	$0.00 	R	$70.00 
Cash In Wallet			8/27/2017	Zack Arvo	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Party maywheather mcgregor	$10.00 	$0.00 	R	$60.00 
Cash In Wallet			9/3/2017	Bar	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Joe matt	$7.00 	$0.00 	R	$53.00 
Cash In Wallet			9/3/2017	Toll	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Trip matt to Chicago	$7.00 	$0.00 	R	$46.00 
Cash In Wallet			9/3/2017	Borrito Place	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Joey and matt	$17.00 	$0.00 	R	$29.00 
Cash In Wallet			9/4/2017	Toll	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Trip matt to Chicago	$4.00 	$0.00 	R	$25.00 
Cash In Wallet			9/4/2017	Toll	Infrequent Purchases and Payments:Vacation	Infrequent Purchases and Payments	Vacation	Trip matt to Chicago	$5.00 	$0.00 	R	$20.00 
Cash In Wallet			9/5/2017	Martians Hardware	Leverage:Personal Debts	Leverage	Personal Debts	Key fob dad payback 	$0.00 	$63.00 	R	$83.00 
Cash In Wallet			9/6/2017	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$0.00 	$11.00 	R	$94.00 
Cash In Wallet			9/8/2017	Dom's	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Sanagaria with the GSIs	$26.00 	$0.00 	R	$68.00 
Cash In Wallet			9/9/2017	Transfer : Cash in Safe					$0.00 	$120.00 	R	$188.00 
Cash In Wallet			9/9/2017	Reds Hot Dog Stand	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Ann Arbor 	$5.00 	$0.00 	R	$183.00 
Cash In Wallet			9/14/2017	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$5.00 	$0.00 	R	$178.00 
Cash In Wallet			9/15/2017	Lyon Auto Wash	Everyday Needs:Car Maint. & Ins [1093 6/1]	Everyday Needs	Car Maint. & Ins [1093 6/1]	Car wash 	$7.00 	$0.00 	R	$171.00 
Cash In Wallet			9/21/2017	Quickie Burger	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Water	$2.00 	$0.00 	R	$169.00 
Cash In Wallet			9/21/2017	State Street Barbers	Everday Wants:Spending Money	Everday Wants	Spending Money	Haircut	$20.00 	$0.00 	R	$149.00 
Cash In Wallet			9/22/2017	Dairy Queen	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Sam	$5.00 	$0.00 	R	$144.00 
Cash In Wallet			9/22/2017	Babs Underground	"Everday Wants:Partying, Drinks, and Food"	Everday Wants	"Partying, Drinks, and Food"	Stats	$10.00 	$0.00 	R	$134.00 
Cash In Wallet			9/23/2017	Reconciliation Balance Adjustment	Income:Available this month	Income	Available this month	Entered automatically by YNAB	$0.00 	$16.00 	R	$150.00 
